stableBindProbability,chemokineExpressionThreshold,initialChemokineExpressionValue,maxChemokineExpressionValue,maxProbabilityOfAdhesion,adhesionFactorExpressionSlope,ATestVelocity,ATestVelocityNorm,ATestDisplacement,ATestDisplacementNorm
50,0.3,0.2,0.04,0.6,1,0.5,0.5,0.5,0.5
10,0.3,0.2,0.04,0.6,1,0.436774074074074,0.563225925925926,0.5248,0.5248
20,0.3,0.2,0.04,0.6,1,0.511585185185185,0.511585185185185,0.501937037037037,0.501937037037037
30,0.3,0.2,0.04,0.6,1,0.499216666666667,0.500783333333333,0.541048148148148,0.541048148148148
40,0.3,0.2,0.04,0.6,1,0.500236111111111,0.500236111111111,0.491990740740741,0.508009259259259
60,0.3,0.2,0.04,0.6,1,0.509981481481482,0.509981481481482,0.515642592592593,0.515642592592593
70,0.3,0.2,0.04,0.6,1,0.496764814814815,0.503235185185185,0.503281481481482,0.503281481481482
80,0.3,0.2,0.04,0.6,1,0.500640740740741,0.500640740740741,0.489787037037037,0.510212962962963
90,0.3,0.2,0.04,0.6,1,0.49263425925926,0.50736574074074,0.498946296296297,0.501053703703703
100,0.3,0.2,0.04,0.6,1,0.483833333333334,0.516166666666666,0.433866666666667,0.566133333333333
50,0.1,0.2,0.04,0.6,1,0.494081481481482,0.505918518518518,0.545575925925926,0.545575925925926
50,0.2,0.2,0.04,0.6,1,0.498243518518518,0.501756481481482,0.519688888888889,0.519688888888889
50,0.4,0.2,0.04,0.6,1,0.52532962962963,0.52532962962963,0.496607407407407,0.503392592592593
50,0.5,0.2,0.04,0.6,1,0.51167962962963,0.51167962962963,0.482005555555556,0.517994444444444
50,0.6,0.2,0.04,0.6,1,0.487603703703704,0.512396296296296,0.442955555555556,0.557044444444444
50,0.7,0.2,0.04,0.6,1,0.471155555555555,0.528844444444445,0.459322222222222,0.540677777777778
50,0.8,0.2,0.04,0.6,1,0.465087962962963,0.534912037037037,0.431475925925926,0.568524074074074
50,0.9,0.2,0.04,0.6,1,0.440396296296296,0.559603703703704,0.303377777777778,0.696622222222222
50,0.3,0.1,0.04,0.6,1,0.538116666666666,0.538116666666666,0.598716666666667,0.598716666666667
50,0.3,0.15,0.04,0.6,1,0.550294444444445,0.550294444444445,0.531492592592592,0.531492592592592
50,0.3,0.25,0.04,0.6,1,0.510738888888889,0.510738888888889,0.499837037037037,0.500162962962963
50,0.3,0.3,0.04,0.6,1,0.488318518518518,0.511681481481482,0.455503703703704,0.544496296296296
50,0.3,0.35,0.04,0.6,1,0.48195462962963,0.51804537037037,0.467557407407407,0.532442592592593
