stableBindProbability,chemokineExpressionThreshold,initialChemokineExpressionValue,maxChemokineExpressionValue,maxProbabilityOfAdhesion,adhesionFactorExpressionSlope,Velocity,Displacement
10,0.3,0.2,0.04,0.6,1,4.38135668440862,40.0903161469109
10,0.3,0.2,0.04,0.6,1,4.16801586732318,55.0977652853824
10,0.3,0.2,0.04,0.6,1,5.19021883520106,36.8012496494248
10,0.3,0.2,0.04,0.6,1,3.56665528804,21.9998516087509
10,0.3,0.2,0.04,0.6,1,7.17392893604066,51.7177476608683
10,0.3,0.2,0.04,0.6,1,3.23415344203587,18.9760262922077
10,0.3,0.2,0.04,0.6,1,4.07913390345547,112.792804452536
10,0.3,0.2,0.04,0.6,1,4.40720291851027,56.1279112592449
10,0.3,0.2,0.04,0.6,1,4.71181550805218,74.2085493328443
10,0.3,0.2,0.04,0.6,1,5.77302205249763,17.2692221681393
10,0.3,0.2,0.04,0.6,1,3.74006598269019,27.1990773349271
10,0.3,0.2,0.04,0.6,1,4.42858988916145,43.5036116629534
10,0.3,0.2,0.04,0.6,1,5.24209990527616,34.2759013504585
10,0.3,0.2,0.04,0.6,1,4.21206163163781,64.5933624047236
10,0.3,0.2,0.04,0.6,1,5.20190126303205,155.702437672687
10,0.3,0.2,0.04,0.6,1,4.71718287452345,42.2207761913569
10,0.3,0.2,0.04,0.6,1,4.56622021446701,52.310461719179
10,0.3,0.2,0.04,0.6,1,6.25771361552609,91.642077869215
10,0.3,0.2,0.04,0.6,1,5.53956563034929,24.6614304202023
10,0.3,0.2,0.04,0.6,1,4.88640077581,24.1048460729578
10,0.3,0.2,0.04,0.6,1,4.73283868327308,21.4798713926652
10,0.3,0.2,0.04,0.6,1,5.4,109.552232326092
10,0.3,0.2,0.04,0.6,1,3.65068534202339,48.7273841100849
10,0.3,0.2,0.04,0.6,1,4.08284320465858,31.5675523991141
10,0.3,0.2,0.04,0.6,1,3.74090460154794,34.4705315413323
10,0.3,0.2,0.04,0.6,1,4.33884121019108,54.9068471559462
10,0.3,0.2,0.04,0.6,1,5.61281807254851,31.5080711670383
10,0.3,0.2,0.04,0.6,1,3.33770187507927,41.7112951149197
10,0.3,0.2,0.04,0.6,1,6.83237610432706,84.3915230817974
10,0.3,0.2,0.04,0.6,1,4.94615100022167,37.917439711658
10,0.3,0.2,0.04,0.6,1,5.52505276238443,108.875648614935
10,0.3,0.2,0.04,0.6,1,4.63088652594133,21.7974241668282
10,0.3,0.2,0.04,0.6,1,3.78447366566871,57.7689700348915
10,0.3,0.2,0.04,0.6,1,2.75836609083986,28.8805201988354
10,0.3,0.2,0.04,0.6,1,4.67444356596774,74.7228072516652
10,0.3,0.2,0.04,0.6,1,5.81632993285128,99.656841773201
10,0.3,0.2,0.04,0.6,1,5.2290537374716,40.4925170731196
10,0.3,0.2,0.04,0.6,1,4.33256277289126,27.7300525990972
10,0.3,0.2,0.04,0.6,1,5.75512093988866,95.9042292469289
10,0.3,0.2,0.04,0.6,1,5.14932534476051,27.6535638816904
10,0.3,0.2,0.04,0.6,1,4.65238467606264,81.1959930390349
10,0.3,0.2,0.04,0.6,1,5.91376525708276,50.9393373868258
10,0.3,0.2,0.04,0.6,1,3.7372880297453,62.2403436853286
10,0.3,0.2,0.04,0.6,1,4.89180461556929,42.3631783176912
10,0.3,0.2,0.04,0.6,1,4.01964459903089,18.8839719496851
10,0.3,0.2,0.04,0.6,1,5.33053852846861,50.9096730236351
10,0.3,0.2,0.04,0.6,1,5.49989675082348,48.4172496169098
10,0.3,0.2,0.04,0.6,1,4.62300691531277,46.0853730387006
10,0.3,0.2,0.04,0.6,1,4.7587988996015,18.6600383155517
10,0.3,0.2,0.04,0.6,1,6.19740961367155,86.0375309379258
10,0.3,0.2,0.04,0.6,1,6.03380241117791,52.5848024741402
